name;country;city;company;system;ebikes;latitude;longitude
BrindisiByBike;Italy;Brindisi;Comunicare S.r.l.;Bicincittà;No especificado;40,637580319936106;17,940774547082572
Broward BCycle;United States;Fort Lauderdale, FL;BCycle, LLC;BCycle;No especificado;26,12026;-80,14819
Bublr Bikes;United States;Milwaukee, WI;BCycle, LLC;BCycle;No especificado;43,0369;-87,89667
BUGA;Portugal;Aveiro;SOLTRÁFEGO, SA;Soltrafego;No especificado;40,6388;-8,6479
Bysykkel;Norway;Lillestrøm;JCDecaux;Cyclocity;No especificado;59,9559696;11,0503785
C.vélo;France;Clermont-Ferrand;CityBike France;No especificado;No especificado;45,7831;3,0824
Cagliari;Italy;Cagliari;Comunicare S.r.l.;Bicincittà;No especificado;39,220817;9,121399
Call-A-Bike;Germany;Berlin;Deutsche Bahn AG;deutschebahn;No especificado;52,5179;13,3895
Call-A-Bike;Germany;Darmstadt;Deutsche Bahn AG;deutschebahn;No especificado;49,8707135;8,6527299
Call-A-Bike;Germany;Frankfurt;Deutsche Bahn AG;deutschebahn;No especificado;50,1109;8,6795
Call-A-Bike;Germany;Köln;Deutsche Bahn AG;deutschebahn;No especificado;50,939;6,9595
Call-A-Bike;Germany;München;Deutsche Bahn AG;deutschebahn;No especificado;48,1375;11,5759
Capital BikeShare;United States;Washington, DC;Motivate International, Inc.;No especificado;Sí;38,8967584;-77,03701629999999
CapMetro Bikeshare;United States;Austin, TX;CapMetro;No especificado;No especificado;30,26408;-97,74355
Carbonia;Italy;Carbonia;Comunicare S.r.l.;Bicincittà;No especificado;39,167222;8,522222
carvelo eCargo-Bike Sharing;Switzerland;Switzerland;Mobilitätsakademie AG;No especificado;No especificado;46,9829;8,2331
Cascavel Vai de Bici;Brazil;Cascavel;Mobhis Automação Urbana;Mobhis;No especificado;-24,9558;-53,4566
Cassano d'Adda;Italy;Cassano d'Adda;Comunicare S.r.l.;Bicincittà;No especificado;45,5309616;9,5155813
Castellucchio;Italy;Castellucchio;Comunicare S.r.l.;Bicincittà;No especificado;45,15047821582959;10,651202201843262
Cenibici;Spain;Cenicientos;Instituto Tecnológico de Castilla y León (ITCL);bicicard;No especificado;40,2623;-4,4661
Chantrerie VLS (Captain Bike);France;La Chantrerie, Nantes;Ecovelo;Ecovelo;Sí;47,2868203;-1,5210917
Chartered Bike;India;Bhopal;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;23,258546;77,401851
Chartered Bike;India;Bilaspur;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;22,07834;82,14768
Chartered Bike;India;Moradabad;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;28,83263;78,77346
Chartered Bike;India;Prayagraj;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;25,43802;81,83383
Chartered Bike;India;Rajarhat New Town;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;22,58797;88,4731
Chartered Bike;India;Ranchi;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;23,37005;85,325004
Chartered Bike;India;Srinagar;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;34,07471;74,82044
Chartered Bike;India;Surat;CHARTERED BIKE PRIVATE LIMITED;Chartered Bike;No especificado;21,18626;72,80798
Chivasso;Italy;Chivasso;Comunicare S.r.l.;Bicincittà;No especificado;45,189765;7,888935
Choletbus 2 roues;France;Cholet;Ecovelo;Ecovelo;Sí;47,06;-0,8783
CHROMEK;Poland;Chodzież;ROOVEE S.A.;No especificado;No especificado;52,992356972;16,926923576
Ciclopi;Italy;Pisa;Comunicare S.r.l.;Bicincittà;No especificado;43,7228386;10,4016888
Cincy Red Bike;United States;Cincinnati, OH;BCycle, LLC;BCycle;No especificado;39,10138;-84,51217
Citi Bike Miami;United States;Miami, FL;DecoBike LLC;DecoBike;No especificado;25,790654;-80,1300455
Citi Bike;United States;New York, NY;NYC Bike Share, LLC;No especificado;Sí;40,7143528;-74,00597309999999
City bikes;Finland;Tampere;Inurba Mobility;No especificado;No especificado;61,4985;23,7605
CityBike Lima;Peru;Lima;CityBike Miraflores S.A.C.;No especificado;No especificado;-12,1209;-77,0296
city bike Linz;Austria;Linz;Nextbike GmbH;Nextbike;No especificado;48,3003;14,2843
City bikes;Finland;Helsinki;Helsinki City Transport;No especificado;No especificado;60,1698;24,9384
Civitavecchia;Italy;Civitavecchia;Comunicare S.r.l.;Bicincittà;No especificado;42,0937524;11,7922462
Clemson University Bike Share;United States;Clemson, SC;BCycle, LLC;BCycle;No especificado;34,67847;-82,8351
Cluj Bike;Romania;Cluj-Napoca;Municipiul Cluj-Napoca;Clujbike;No especificado;46,775;23,5975
TFI Bikes;Ireland;Cork;The National Transport Authority;TFI Bikes;No especificado;51,893604;-8,494174
Cuneo;Italy;Cuneo;Comunicare S.r.l.;Bicincittà;No especificado;44,384238;7,541428
Cycl’AM;France;Ardenne Métropole;Ecovelo;Ecovelo;Sí;49,7719;4,7161
CYCLOlibre;France;Carcassonne;Ecovelo;Ecovelo;Sí;43,2127;2,3492
Γεωπονικό Πανεπιστήμιο Αθηνών (Agricultural University of Athens);Greece;Athens;Cyclopolis Systems;Cyclopolis;No especificado;37,9846;23,7056
Cyclopolis;Greece;Chania;Cyclopolis Systems;Cyclopolis;No especificado;35,5148425;24,0177549
Cyclopolis;Greece;Edessa;Cyclopolis Systems;Cyclopolis;No especificado;40,8033168;22,0436732
Cyclopolis;Greece;Igoumenitsa;Cyclopolis Systems;Cyclopolis;No especificado;39,5031199;20,2639271
Cyclopolis;Greece;Loutraki;Cyclopolis Systems;Cyclopolis;No especificado;37,9782137;22,9767486
Cyclopolis;Greece;Poros;Cyclopolis Systems;Cyclopolis;No especificado;37,4995;23,4546
Cyclovis;France;Soissons;Ecovelo;Ecovelo;Sí;49,3817;3,3236
Cykl;Netherlands;Wageningen;Open Source Bike Share;OpenSourceBikeShare;No especificado;51,974;5,6671
Dbizi;Spain;Donostia/San Sebastián;UTE BIZISS;No especificado;No especificado;43,3186;-1,9836
DCS Bike;Germany;Mannheim;Nextbike GmbH;Nextbike;No especificado;49,5346;8,47004
Lyft;United States;Denver, CO;Lyft Inc.;No especificado;No especificado;39,72055;-104,95253
Des Moines BCycle;United States;Des Moines, IA;BCycle, LLC;BCycle;No especificado;41,6005448;-93,6091064
DiviaVélodi;France;Dijon;Cykleo SAS;Cykleo;No especificado;47,3215806;5,0414701
Divvy;United States;Chicago, IL;Motivate International, Inc.;No especificado;Sí;41,8781136;-87,6297982
Docomo Bike Share Aichi;Japan;愛知県 (Aichi);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,1835;136,904
Docomo Bike Share Fukui;Japan;福井県 (Fukui);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;36,0665;136,2138
Docomo Bike Share Gifu;Japan;岐阜県 (Gifu);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;35,4512;137,02627
Docomo Bike Share Hiroshima;Japan;広島県 (Hiroshima);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;34,3904;132,4527
Docomo Bike Share Hyōgo;Japan;兵庫県 (Hyōgo);DOCOMO BIKE SHARE, INC.;No especificado;No especificado;34,8147;134,689
